Base Model ,Question Type,Question,Corrected Response,Evaluation,Response Time (s),Model size
NousResearch/Llama-2-7b-chat-hf,Ocular Pathology QCM,L'héméralopie est liée à ? a. La cataracte. b. Un diabète. c. La rétinite pigmentaire. d. Un décollement de rétine. e. La DMLA.,c. La rétinite pigmentaire.,incomplet,137.48,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Pathology QCM,Une hémorragie intravitréenne peut être due à ? a. Une rétinopathie diabétique proliférative. b. Un traumatisme. c. Un décollement de rétine. d. Une occlusion de la veine centrale de la rétine. e. Une DMLA.,a. Une rétinopathie diabétique proliférative. b. Un traumatisme. c. Un décollement de rétine. d. Une occlusion de la veine centrale de la rétine.,incomplet,137.31,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Pathology QCM,L'œdème de Berlin constitue une contusion du segment postérieur qui ? a. Se traduit par un niveau liquide hématique dans la chambre antérieure dont le risque est la récidive hémorragique. b. Apparaît sous la forme d'une hémorragie conjonctivale probablement due à une plaie sclérale sous-jacente ou un corps étranger. c. Évolue vers la résorption spontanée en tant qu'hémorragie intra-vitréenne empêchant la visualisation de la rétine. d. Est responsable d'une baisse d'acuité visuelle initiale souvent transitoire. e. Peut évoluer parfois vers la constitution d'un trou maculaire avec une baisse d'acuité visuelle définitive.,c. Sclérite.,incomplet,144.86,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Pathology QCM,La rétinopathie diabétique ? a. C'est la manifestation de la micro-angiopathie diabétique. b. C'est la manifestation de la macroangiopathie diabétique. c. C'est l'affection vasculaire rétinienne la plus fréquente. d. Elle est toujours bilatérale. e. Elle survient uniquement chez le diabétique type 1.,a. C'est la manifestation de la micro-angiopathie diabétique. c. C'est l'affection vasculaire rétinienne la plus fréquente. d. Elle est toujours bilatérale.,incomplet,147.33,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Pathology QCM, Question: A 26-year-old woman with multiple sclerosis comes to the physician because of a recent relapse Examination of the eye movements shows slow adduction of the left eye with an associated right-beating nystagmus in the right eye. Which of the following is the location of the pathology that underlies this abnormality? Options: A. Abducens nerve palsy B. Left medial longitudinal fasciculus C. Right medial longitudinal fasciculus D. Right oculomotor nerve,OPTION B IS CORRECT.,incorrect,139.95,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Pathology QCM,Question: Homonymous hemianopia with usually sparing of the macula is seen in lesions of: Options: A. Geniculate body B. Optic radiations C. Visual coex D. All of the above,Ans. Visual coex OPTION C IS CORRECT.,incorrect,136.44,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Pathology QCM,Question: First sign of optic nerve disease is- Options: A. Papilloedema B. Colour blindness C. Afferent pupillary defect D. Efferent pupillary defect,Marcuss Gunn pupil or RAPD (relative afferent papillary defect) is the earliest indication of optic nerve disease even in presence of normal visual acuity. OPTION C IS CORRECT.,incorrect,129.21,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Pathology QCM,Question: Cataracts in a newborn is: Options: A. Zonular B. Nuclear C. Snowflake D. Cortical,a zonular refkhurana 3rd/e p. 187 OPTION A IS CORRECT.,complet,125.6,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Pathology QCM,La myopie d'indice est ? a. Est due à un début de cataracte b. Se voit dans les cataractes totales c. Se corrige par le laser d. Est due un allongement de l'axe antéro-postérieur du globe oculaire.,a. Est due à un début de cataracte. c. Se corrige par le laser.,incorrect,125.01,6.74B params
NousResearch/Llama-2-7b-chat-hf,Ocular Pathology QCM,La cataracte intumescente ? a. Est une cataracte congénitale. b. Est une cataracte en rosace. c. Elle peut se compliquer d'un décollement de rétine. d. Elle peut se compliquer d'une crise de glaucome par fermeture de l'angle secondaire. e. Elle est due à l'augmentation du volume du cristallin.,a. Est une cataracte congénitale. b. Est une cataracte en rosace. c. Elle peut se compliquer d'un décollement de rétine.,incorrect,132.25,6.74B params
NousResearch/Llama-2-7b-chat-hf,General Ophthalmology QCM,Le décollement de rétine rhegmatogène ? a. Survient volontiers chez le myope. b. Est précédé d’une déchirure rétinienne. c. Se traduit par une amputation du champ visuel. d. Doit être opéré en urgence. e. Se traduit par une baisse d’acuité visuelle.,a. Survient volontiers chez le myope. b. Est précédé d’une déchirure rétinienne. c. Se traduit par une amputation du champ visuel. d. Doit être opéré en urgence. e. Se traduit par une baisse d’acuité visuelle.,incomplet,124.1,6.74B params
NousResearch/Llama-2-7b-chat-hf,General Ophthalmology QCM,Le syndrome de Claude Bernard-Horner est en rapport avec ? a. Un myosis. b. Une énophtalmie. c. Un ptosis. d. Une exophtalmie. e. Une paralysie du III.,a. Un myosis. b. Une énophtalmie. c. Un ptosis.,incorrect,129.52,6.74B params
NousResearch/Llama-2-7b-chat-hf,General Ophthalmology QCM,Concernant le strabisme paralytique ? a. L'un des signes est la limitation de la motilité oculaire. b. Peut s'accompagner de céphalées. c. La diplopie est monoculaire. d. La déviation peut se majorer dans le regard dans le sens de la paralysie. e. Toutes les réponses sont justes.,a. L'un des signes est la limitation de la motilité oculaire. b. Peut s'accompagner de céphalées. d. La déviation peut se majorer dans le regard dans le sens de la paralysie.,incomplet,123.21,6.74B params
NousResearch/Llama-2-7b-chat-hf,General Ophthalmology QCM,"Le diagnostic de paralysie du III se fait sur les signes suivants, sauf un, lequel ? a. Strabisme divergent. b. Mydriase. c. Ptosis. d. Limitation de l’élévation et de l’abaissement de l’œil. e. Limitation de l’adduction de l’œil.",d. Limitation de l’élévation et de l’abaissement de l’œil.,incomplet,69.96,6.74B params
NousResearch/Llama-2-7b-chat-hf,General Ophthalmology QCM,Concernant les paralysies oculomotrices ? a. Une diplopie binoculaire traduit souvent une paralysie oculomotrice. b. Une diplopie monoculaire traduit souvent une paralysie oculomotrice. c. Peuvent être révélatrices d’une maladie neurologique. d. Peuvent être révélatrices d’une maladie générale. e. Se manifestent par un ptosis.,a. Une diplopie binoculaire traduit souvent une paralysie oculomotrice. c. Peuvent être révélatrices d’une maladie neurologique. d. Peuvent être révélatrices d’une maladie générale.,incorrect,128.36,6.74B params
NousResearch/Llama-2-7b-chat-hf,General Ophthalmology QCM,"Un œil rouge, douloureux et dur peut faire suspecter une crise de glaucome aigu ou une uvéite antérieure hypertensive aiguë. Parmi les signes suivants, quel est celui qui permet de retenir sans hésitation le premier diagnostic ? a. L'œdème cornéen. b. La baisse de vision. c. La mydriase. d. La photophobie. e. Le larmoiement.",c. La mydriase.,incorrect,124.56,6.74B params
NousResearch/Llama-2-7b-chat-hf,General Ophthalmology QCM,Les étiologies responsables de cercle péri kératiques sont ? a. Le glaucome aigu. b. La conjonctivite. c. L'hémorragie sous conjonctivale. d. La kératite. e. L'uvéite antérieure.,a. Le glaucome aigu. d. La kératite. e. L'uvéite antérieure.,incomplet,123.09,6.74B params
NousResearch/Llama-2-7b-chat-hf,General Ophthalmology QCM,Question: Recovery in cataract surgery is fastest with which of the following - Options: A. ICCE B. ECCE C. Phacoemulsification D. ECCE with ICI,OPTION C IS CORRECT,complet,124.24,6.74B params
NousResearch/Llama-2-7b-chat-hf,General Ophthalmology QCM,Question: Which of the following drug is not used in glaucoma: Options: A. Pilicarpine. B. Physostigmine. C. Metoprolol. D. Timolol.,OPTION C IS CORRECT.,complet,106.2,6.74B params
NousResearch/Llama-2-7b-chat-hf,General Ophthalmology QCM,Question: True about incontinenta pigmenti include the following except: Options: A. X-linked dominant B. Primary skin abnormality C. Avascularity of peripheral retina D. Ocular involvement is seen in almost 100% cases and is typically unilateral,OPTION D IS CORRECT. ,complet,100.54,6.74B params
NousResearch/Llama-2-7b-chat-hf,Clinical Cases QCM,"Question: A 32-year-old woman presents to the emergency department due to severe, intractable headaches, and bilateral ocular pain. Her symptoms began approximately 2 weeks prior to presentation and have progressively worsened. She initially had right-sided headaches that were sharp, interfered with sleep, and were unresponsive to pain medications. The headache was around her right eye and cheek, and she noticed diplopia with right lateral gaze. Her symptoms were accompanied by fatigue, fever, and edema around the right eye. Approximately 2 days after these symptoms, she developed swelling around the left eye. Medical history is significant for a recent rhinosinusitis infection. Her temperature is 101°F (38.3°C), blood pressure is 133/72 mmHg, pulse is 90/min, and respirations are 18/min. On physical exam, there is ptosis, proptosis, chemosis, and periorbital swelling of both eyes. There is hyperesthesia in the bilateral ophthalmic and maxillary divisions of the trigeminal nerve. Fundoscopic exam demonstrates bilateral papilledema. There is mydriasis and eye muscle weakness in all directions. Which of the following is the most likely diagnosis? Options: A. Acute angle-closure glaucoma B. Bacterial endophthalmitis C. Cavernous sinus thrombosis D. Orbital cellulitis",OPTION C IS CORRECT.,incorrect,138.42,6.74B params
NousResearch/Llama-2-7b-chat-hf,Clinical Cases QCM,"Question: A 30-year-old man returns to the hospital 3 weeks after open reduction and internal fixation of left tibia and fibula fractures from a motor vehicle accident. The patient complains that his surgical site has been draining pus for a few days, and his visiting nurse told him to go to the emergency room after he had a fever this morning. On exam, his temperature is 103.0°F (39.4°C), blood pressure is 85/50 mmHg, pulse is 115/min, and respirations are 14/min. The ED physician further documents that the patient is also starting to develop a diffuse, macular rash. The patient is started on broad spectrum antibiotics, and Gram stain demonstrates purple cocci in clusters. Which of the following toxins is likely to be the cause of this patient's condition? Options: A. Alpha toxin B. Endotoxin C. Pyogenic exotoxin A D. Toxic shock syndrome toxin 1",OPTION D IS CORRECT.,complet,129.86,6.74B params
NousResearch/Llama-2-7b-chat-hf,Clinical Cases QCM,"Question: A patient presented with scarring alopecia, thinned nails, hypopigmiented macular lesions over the trunk and oral mucosa. The diagnosis is – Options: A. Psoriasis B. Leprosy C. Lichen planus D. None",OPTION D IS CORRECT.,incorrect,122.29,6.74B params
NousResearch/Llama-2-7b-chat-hf,Clinical Cases QCM,"Question: A 7-year-old girl presents to a new pediatrician with fever, shortness of breath, and productive cough. She had similar symptoms a few weeks ago. The girl was born at 39 weeks gestation via spontaneous vaginal delivery. She is up to date on all vaccines and is meeting all developmental milestones. A further review of her history reveals seizures, upper respiratory infections, and cellulitis. On physical examination, the patient is pale with white-blonde hair and pale blue eyes. Which of the following would you expect to see on a peripheral blood smear for this patient? Options: A. Predominance of band leukocytes B. Downey cells C. Polymorphonuclear leukocytes containing giant inclusion bodies D. Significant basophil predominance",OPTION C IS CORRECT.,incorrect,123.09,6.74B params
NousResearch/Llama-2-7b-chat-hf,Clinical Cases QCM,"Question: A 71-year-old woman comes to the office with a history of headaches, fatigue, and weight loss for 3 months. The headaches are new for her, and usually not very severe. Her jaw also hurts when she is chewing food. Two days prior, she had briefly lost partial vision in her left eye. There were no other neurologic symptoms at the time. On examination, her neck is supple to flexion, fundi and neurologic examinations are normal. She is started on prednisone 60 mg/day and a biopsy is performed to confirm the diagnosis. Which of the following is the most likely change seen on the biopsy to confirm the diagnosis? Options: A. immune complex deposition B. arteritis with giant cells C. lymphocytic infiltration D. type II muscle fiber atrophy",OPTION B IS CORRECT.,complet,129.44,6.74B params
NousResearch/Llama-2-7b-chat-hf,Clinical Cases QCM,"Question: A previously healthy 10-year-old girl is brought to the physician because of severe malaise, pink eyes, cough, and a runny nose for 3 days. She recently immigrated from Sudan and immunization records are unavailable. Her temperature is 40.1°C (104.1°F). Examination shows bilateral conjunctival injections. There are multiple bluish-gray lesions on an erythematous buccal mucosa and soft palate. This patient is at increased risk for which of the following complications? Options: A. Immune thrombocytopenic purpura B. Subacute sclerosing panencephalitis C. Transient arrest of erythropoiesis D. Glomerular immune complex deposition",OPTION B IS CORRECT.,incorrect,129.48,6.74B params
NousResearch/Llama-2-7b-chat-hf,Clinical Cases QCM,"Question: A 47-year-old woman is brought to the hospital by her husband with fever, headache, confusion, and jaundice for 1 week. She underwent a hysterectomy 2 months ago and began estrogen replacement therapy recently. On admission, her temperature is 38.7 C (102 F), blood pressure is 140/90 mm Hg, Pulse is 98/min, and Respiratory rate is 20/min. She appears disoriented to time and place. Physical examination reveals jaundiced sclerae and skin, purpura on the trunk, and bleeding gums. Her platelet count is 25,000/mm3, hematocrit is 24%, and creatinine is 4.9 mg/dL. Lactate dehydrogenase (LDH) and indirect bilirubin are elevated. Coagulation tests are within normal limits, but the bleeding time is increased; fibrin-split products and Coombs test are negative. A peripheral blood smear shows schistocytes, helmet-shaped cells, and cells with a triangular shape. Which of the following is the most likely diagnosis? Options: A. Autoimmune hemolytic anemia B. Disseminated intravascular coagulation (DIC) C. Hemolytic-uremic syndrome (HUS) D. Thrombotic thrombocytopenic purpura (TTP)","Option D: Thrombotic thrombocytopenic purpura (TTP) is the most likely diagnosis. It presents with microangiopathic hemolytic anemia, increased bleeding time, decreased platelet count, elevated indirect bilirubin and LDH, and characteristic findings on blood smear like schistocytes and helmet-shaped cells.",incorrect,136.26,6.74B params
NousResearch/Llama-2-7b-chat-hf,Clinical Cases QCM,Question: A 50-year-old man came to the ophthalmologist with the complaint of inability to read newspaper. His vision problem is likely due to inadequate contraction of which of the following structures? Options: A. Ciliary body B. Dilator pupillae C. Extraocular muscles D. Suspensory ligaments of lens,OPTION A IS CORRECT.,complet,123.48,6.74B params
NousResearch/Llama-2-7b-chat-hf,Clinical Cases QCM,"Question: A 57-year-old man presents to the emergency department because he has been having abdominal pain for the past several months. Specifically, he complains of severe epigastric pain after eating that is sometimes accompanied by diarrhea. He has also lost 20 pounds over the same time period, which he attributes to the fact that the pain has been stopping him from wanting to eat. He does not recall any changes to his urine or stool. Physical exam reveals scleral icterus and a large non-tender gallbladder. Which of the following substances would most likely be elevated in the serum of this patient? Options: A. Alpha-fetoprotein B. CA-19-9 C. CEA D. PTHrP",OPTION B IS CORRECT.,incorrect,125.24,6.74B params
NousResearch/Llama-2-7b-chat-hf,Clinical Cases QCM,"Question: A 6-month-old boy is brought to the emergency department by his mother because of recurrent vomiting and yellowing of his eyes. The mother says that he has been eating poorly since she started weaning him off of breast milk 5 days ago. At this time, mashed vegetables and fruits were added to his diet. Examination shows scleral jaundice and dry mucous membranes. The tip of the liver is palpable 4 cm below the right costal margin. His serum glucose concentration is 47 mg/dL, serum alanine aminotransferase is 55 U/L, and serum aspartate aminotransferase is 66 U/L. Which of the following enzymes is most likely deficient? Options: A. Galactokinase B. Galactose-1 phosphate uridyltransferase C. Aldolase B D. Glucose-6-phosphatase",OPTION C IS CORRECT.,incorrect,132.4,6.74B params
